"provinsi","kabupaten_kota","kabkota","ibu_kota","bupati_wali_kota","luas_wilayah","jumlah_penduduk","kecamatan","total_kelurahan_desa"
"Sumatra Selatan","Empat Lawang","Kabupaten","Tebing Tinggi","Joncik Muhammad",2256.44,343839,10,156
"Sumatra Selatan","Lahat","Kabupaten","Lahat","Cik Ujang",5311.74,434939,24,378
"Sumatra Selatan","Muara Enim","Kabupaten","Muara Enim","Ahmad Usmarwi Kaffah (Plt.)",7383.9,617846,22,255
"Sumatra Selatan","Musi Banyuasin","Kabupaten","Sekayu","Apriyadi (Pj.)",14266.26,627070,14,240
"Sumatra Selatan","Musi Rawas","Kabupaten","Muara Beliti","Ratna Machmud",6350.1,398732,14,199
"Sumatra Selatan","Musi Rawas Utara","Kabupaten","Rupit","Devi Suhartoni",6008.55,190420,7,89
"Sumatra Selatan","Ogan Ilir","Kabupaten","Indralaya","Panca Wijaya Akbar",2666.09,419401,16,241
"Sumatra Selatan","Ogan Komering Ilir","Kabupaten","Kayu Agung","Iskandar",18359.04,772742,18,327
"Sumatra Selatan","Ogan Komering Ulu","Kabupaten","Baturaja","Teddy Meilwansyah (Pj.)",4797.06,371106,13,157
"Sumatra Selatan","Ogan Komering Ulu Selatan","Kabupaten","Muaradua","Popo Ali Martopo",5493.94,416616,19,259
"Sumatra Selatan","Ogan Komering Ulu Timur","Kabupaten","Martapura","Lanosin Hamzah",3370,653062,20,312
"Sumatra Selatan","Penukal Abab Lematang Ilir","Kabupaten","Talang Ubi","Heri Amalindo",1840,197290,5,71
"Sumatra Selatan","Lubuklinggau","Kota","Lubuklinggau","SN Prana Putra Sohe",401.5,236828,8,72
"Sumatra Selatan","Pagar Alam","Kota","Pagar Alam","Alfian Maskoni",633.66,195748,5,35
"Sumatra Selatan","Palembang","Kota","Palembang","Harnojoyo",369.22,1686073,18,107
"Sumatra Selatan","Prabumulih","Kota","Prabumulih","Ridho Yahya",456.9,195748,6,37
"Bengkulu","Bengkulu Selatan","Kabupaten","Kota Manna","Gusnan Mulyadi",1186.7,166249,11,158
"Bengkulu","Bengkulu Tengah","Kabupaten","Karang Tinggi","Heriyandi Roni (Pj.)",1223.94,116706,10,143
"Bengkulu","Bengkulu Utara","Kabupaten","Kota Arga Makmur","Mian",4424.6,296523,19,220
"Bengkulu","Kaur","Kabupaten","Kaur Selatan","Gusril Fauzi",2365,135200,15,195
"Bengkulu","Kepahiang","Kabupaten","Kepahiang","Hidayatullah Sjahid",664.8,153232,8,117
"Bengkulu","Lebong","Kabupaten","Tubei","Kopli Ansori",2427.31,118400,13,104
"Bengkulu","Mukomuko","Kabupaten","Kota Mukomuko","Sapuan",4146.52,190498,15,151
"Bengkulu","Rejang Lebong","Kabupaten","Curup","Syamsul Effendi",1515.76,257498,15,156
"Bengkulu","Seluma","Kabupaten","Pasar Tais","Erwin Octavian",2479.36,207877,14,202
"Bengkulu","Bengkulu","Kota","Bengkulu","Helmi Hasan",152,371828,9,67
"Lampung","Lampung Barat","Kabupaten","Liwa","Nukman (Pj.)",2142.78,302139,15,136
"Lampung","Lampung Selatan","Kabupaten","Kalianda","Nanang Ermanto",2219.01,1064301,17,260
"Lampung","Lampung Tengah","Kabupaten","Gunung Sugih","Musa Ahmad",4544.68,1460045,28,311
"Lampung","Lampung Timur","Kabupaten","Sukadana","M. Dawam Rahardjo",3864.69,1110340,24,264
