"provinsi","kabupaten_kota","ibu_kota","bupati_wali_kota","luas_wilayah_diff_sources_and_years","jumlah_penduduk_diff_sources_and_years","kecamatan","kelurahan_desa"
"Kepulauan Bangka Belitung","Kabupaten Natuna","Ranai","Wan Siswandi",1999.16,91864,17,"7/70"
"Kepulauan Bangka Belitung","Kota Batam","-","Muhammad Rudi",1034.73,1307082,12,"64/-"
"Kepulauan Bangka Belitung","Kota Tanjungpinang","-","Rahma",150.37,251708,4,"18/-"
"DKI Jakarta","Kabupaten Administrasi Kepulauan Seribu","Pulau Pramuka","Junaedi",1018,27749,2,"6"
"DKI Jakarta","Kota Administrasi Jakarta Barat","Kembangan","Yani Wahyu Purwoko",124.44,2434511,8,"56"
"DKI Jakarta","Kota Administrasi Jakarta Pusat","Menteng","Dhany Sukma",52.38,1056896,8,"44"
"DKI Jakarta","Kota Administrasi Jakarta Selatan","Kebayoran Baru","Munjirin",154.32,2226812,10,"65"
"DKI Jakarta","Kota Administrasi Jakarta Timur","Cakung","Muhammad Anwar",182.7,3037139,10,"65"
"DKI Jakarta","Kota Administrasi Jakarta Utara","Koja","Ali Maulana Hakim",139.99,1778981,6,"31"
"Jawa Barat","Kabupaten Bandung","Soreang","Dadang Supriatna",1767.96,3623790,31,"10/270"
"Jawa Barat","Kabupaten Bandung Barat","Ngamprah","Hengky Kurniawan",1305.77,1788336,16,"-/165"
"Jawa Barat","Kabupaten Bekasi","Cikarang Pusat","Dani Ramdan (Pj.)",1224.88,3113071,23,"7/180"
"Jawa Barat","Kabupaten Bogor","Cibinong","Iwan Setiawan (Plt.)",2710.62,5427068,40,"19/416"
"Jawa Barat","Kabupaten Ciamis","Ciamis","Herdiat Sunarya",1414.71,1229069,27,"7/258"
"Jawa Barat","Kabupaten Cianjur","Cianjur","Herman Suherman",3840.16,2477560,32,"6/354"
"Jawa Barat","Kabupaten Cirebon","Sumber","Imron Rosyadi",984.52,2270621,40,"12/412"
"Jawa Barat","Kabupaten Garut","Tarogong Kidul","Rudi Gunawan",3074.07,2585607,42,"21/421"
"Jawa Barat","Kabupaten Indramayu","Indramayu","Nina Agustina",2040.11,1834434,31,"8/309"
"Jawa Barat","Kabupaten Karawang","Karawang Barat","Cellica Nurrachadiana",1652.2,2439085,30,"12/297"
"Jawa Barat","Kabupaten Kuningan","Kuningan","Acep Purnama",1110.56,1167686,32,"15/361"
"Jawa Barat","Kabupaten Majalengka","Majalengka","Karna Sobahi",1204.24,1305476,26,"13/330"
"Jawa Barat","Kabupaten Pangandaran","Parigi","Jeje Wiradinata",1010,423667,10,"-/93"
"Jawa Barat","Kabupaten Purwakarta","Purwakarta","Anne Ratna Mustika",825.74,997869,17,"9/183"
"Jawa Barat","Kabupaten Subang","Subang","Ruhimat",1893.95,1595320,30,"8/245"
"Jawa Barat","Kabupaten Sukabumi","Palabuhanratu","Marwan Hamami",4145.7,2725450,47,"5/381"
"Jawa Barat","Kabupaten Sumedang","Sumedang Utara","Dony Ahmad Munir",1518.33,1152507,26,"7/270"
"Jawa Barat","Kabupaten Tasikmalaya","Singaparna","Ade Sugianto",2551.19,1865203,39,"-/351"
"Jawa Barat","Kota Bandung","-","Ema Sumarna (Plh.)",167.67,2444160,30,"151/-"
"Jawa Barat","Kota Banjar","-","Ade Uu Sukaesih",113.49,200973,4,"9/16"
"Jawa Barat","Kota Bekasi","-","Tri Adhianto Tjahyono (Plt.)",206.61,2543676,12,"56/-"
"Jawa Barat","Kota Bogor","-","Bima Arya Sugiarto",118.5,1043070,6,"68/-"
"Jawa Barat","Kota Cimahi","-","Dikdik Suratno Nugrahawan (Pj.)",39.27,568700,3,"15/-"
"Jawa Barat","Kota Cirebon","-","Nasrudin Azis",37.36,333303,5,"22/-"
"Jawa Barat","Kota Depok","-","Idris Abdul Shomad",200.29,2056335,11,"63/-"
"Jawa Barat","Kota Sukabumi","-","Achmad Fahmi",48.25,336325,7,"33/-"
"Jawa Barat","Kota Tasikmalaya","-","Cheka Virgowansyah (Pj.)",171.61,716155,10,"69/-"
"Jawa Tengah","Kabupaten Banjarnegara","Banjarnegara","Tri Harso Widirahmanto (Pj.)",1023.73,1017767,20,"12/266"
"Jawa Tengah","Kabupaten Banyumas","Purwokerto","Achmad Husein",1335.3,1776918,27,"30/301"
"Jawa Tengah","Kabupaten Batang","Batang","Lani Dewi Rejeki (Pj.)",788.65,801718,15,"9/239"
"Jawa Tengah","Kabupaten Blora","Blora","Arief Rohman",1821.59,884333,16,"24/271"
"Jawa Tengah","Kabupaten Boyolali","Boyolali","Said Hidayat",1008.45,1062713,22,"6/261"
"Jawa Tengah","Kabupaten Brebes","Brebes","Urip Sihabudin (Pj.)",1902.37,1978759,17,"5/292"
"Jawa Tengah","Kabupaten Cilacap","Cilacap","Yunita Dyah Suminar (Pj.)",2124.47,1944857,24,"15/269"
"Jawa Tengah","Kabupaten Demak","Demak","Eisti'anah",900.12,1203956,14,"6/243"
"Jawa Tengah","Kabupaten Grobogan","Purwodadi","Sri Sumarni",2013.86,1453526,19,"7/273"
"Jawa Tengah","Kabupaten Jepara","Jepara","Edy Supriyanta (Pj.)",1059.25,1184947,16,"11/184"
"Jawa Tengah","Kabupaten Karanganyar","Karanganyar","Juliyatmono",775.44,931693,17,"15/162"
"Jawa Tengah","Kabupaten Kebumen","Kebumen","Arif Sugiyanto",1211.74,1350438,26,"11/449"
"Jawa Tengah","Kabupaten Kendal","Kendal","Dico Ganinduto",1118.13,1018505,20,"20/266"
"Jawa Tengah","Kabupaten Klaten","Klaten","Sri Mulyani",658.22,1260506,26,"10/391"
"Jawa Tengah","Kabupaten Kudus","Kudus","Hartopo",425.15,849184,9,"9/123"
"Jawa Tengah","Kabupaten Magelang","Mungkid","Zaenal Arifin",1102.93,1299859,21,"5/367"
"Jawa Tengah","Kabupaten Pati","Pati","Henggar Budi Anggoro (Pj.)",1489.19,1324188,21,"5/401"
"Jawa Tengah","Kabupaten Pekalongan","Kajen","Fadia Arafiq",837,968821,19,"13/272"
"Jawa Tengah","Kabupaten Pemalang","Pemalang","Mansur Hidayat (Plt.)",1118.03,1471489,14,"11/211"
"Jawa Tengah","Kabupaten Purbalingga","Purbalingga","Dyah Hayuning Pratiwi",677.55,998561,18,"15/224"
"Jawa Tengah","Kabupaten Purworejo","Purworejo","Agus Bastian",1091.49,769880,16,"25/469"
