"provinsi","kabupaten_kota","ibu_kota","bupati_wali_kota","luas_wilayah_diff_sources_and_years","jumlah_penduduk_diff_sources_and_years","kecamatan","kelurahan_desa"
"Papua Pegunungan","Kabupaten Mamberamo Tengah","Kobakma","Yonas Kenelak (Plt.)",3743.64,51719,5,"-/59"
"Papua Pegunungan","Kabupaten Nduga","Kenyam","Edison Gwijangge (Pj.)",12941,109630,32,"-/248"
"Papua Pegunungan","Kabupaten Pegunungan Bintang","Oksibil","Spei Yan Birdana",15683,78466,34,"-/277"
"Papua Pegunungan","Kabupaten Tolikara","Karubaga","Marthen Kogoya (Pj.)",14564,244345,46,"4/541"
"Papua Pegunungan","Kabupaten Yalimo","Elelim","Nahor Nekwek",4330.29,103387,5,"-/300"
"Papua Pegunungan","Kabupaten Yahukimo","Sumohai (de jure)Dekai (de facto)","Didimus Yahuli",17152,350880,51,"1/510"
"Papua Barat Daya","Kabupaten Maybrat","Kumurkek","Bernhard Rondonuwu (Pj.)",5461.69,42991,24,"1/259"
"Papua Barat Daya","Kabupaten Raja Ampat","Waisai","Abdul Faris Umlati",8034.44,64141,24,"4/117"
"Papua Barat Daya","Kabupaten Sorong","Aimas","Yan Piet Moso (Pj.)",6544.23,118679,30,"26/226"
"Papua Barat Daya","Kabupaten Sorong Selatan","Teminabuan","Samsudin Anggiluli",6594.31,52469,15,"2/121"
"Papua Barat Daya","Kabupaten Tambrauw","Fef","Engelbertus Gabriel Kocu (Pj.)",11529.18,28379,29,"-/216"
"Papua Barat Daya","Kota Sorong","-","George Yarangga (Pj.)",656.64,284410,10,"52/-"
